@relation 'data_inbix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Tiny numeric
@attribute NonPolar numeric
@attribute Polar numeric
@attribute 'Bulky properties' numeric
@attribute 'Helix/bend preference' numeric
@attribute 'Double-bend preference' numeric
@attribute 'Flat extended preference' numeric
@attribute pK-C numeric
@attribute ProtFP1 numeric
@attribute ProtFP8 numeric
@attribute Z1 numeric
@attribute R numeric
@attribute I numeric
@attribute P numeric
@attribute VA numeric
@attribute GR numeric
@attribute TR numeric
@attribute RD numeric
@attribute FD numeric
@attribute WD numeric
@attribute DC numeric
@attribute GC numeric
@attribute YC numeric
@attribute GE numeric
@attribute NQ numeric
@attribute PG numeric
@attribute VG numeric
@attribute NH numeric
@attribute PH numeric
@attribute KI numeric
@attribute TI numeric
@attribute KL numeric
@attribute VL numeric
@attribute AK numeric
@attribute YK numeric
@attribute GF numeric
@attribute LF numeric
@attribute AP numeric
@attribute CP numeric
@attribute LP numeric
@attribute GS numeric
@attribute IS numeric
@attribute MS numeric
@attribute TT numeric
@attribute AW numeric
@attribute LW numeric
@attribute RY numeric
@attribute CY numeric
@attribute LY numeric
@attribute PY numeric
@attribute AV numeric
@attribute EV numeric
@attribute QV numeric
@attribute KAA numeric
@attribute FAA numeric
@attribute TNA numeric
@attribute GDA numeric
@attribute LEA numeric
@attribute VEA numeric
@attribute RGA numeric
@attribute GHA numeric
@attribute RIA numeric
@attribute ILA numeric
@attribute GKA numeric
@attribute MMA numeric
@attribute ESA numeric
@attribute LSA numeric
@attribute GYA numeric
@attribute EVA numeric
@attribute KVA numeric
@attribute PVA numeric
@attribute SVA numeric
@attribute ERR numeric
@attribute INR numeric
@attribute GER numeric
@attribute NGR numeric
@attribute EGR numeric
@attribute GGR numeric
@attribute IIR numeric
@attribute TKR numeric
@attribute APR numeric
@attribute ADN numeric
@attribute QEN numeric
@attribute YEN numeric
@attribute DQN numeric
@attribute FTN numeric
@attribute YTN numeric
@attribute AAD numeric
@attribute KLD numeric
@attribute FKD numeric
@attribute HPD numeric
@attribute ISD numeric
@attribute STC numeric
@attribute FAE numeric
@attribute TRE numeric
@attribute VRE numeric
@attribute LNE numeric
@attribute TGE numeric
@attribute AIE numeric
@attribute DLE numeric
@attribute EFE numeric
@attribute DPE numeric
@attribute VSE numeric
@attribute KNQ numeric
@attribute VQQ numeric
@attribute LIQ numeric
@attribute LKQ numeric
@attribute MKQ numeric
@attribute IVQ numeric
@attribute KAG numeric
@attribute ARG numeric
@attribute IRG numeric
@attribute EDG numeric
@attribute LEG numeric
@attribute LHG numeric
@attribute RIG numeric
@attribute LLG numeric
@attribute KLG numeric
@attribute PLG numeric
@attribute IKG numeric
@attribute TKG numeric
@attribute GTG numeric
@attribute HHH numeric
@attribute ALH numeric
@attribute IPH numeric
@attribute GYH numeric
@attribute QAI numeric
@attribute LAI numeric
@attribute SNI numeric
@attribute IDI numeric
@attribute GEI numeric
@attribute EKI numeric
@attribute LSI numeric
@attribute LYI numeric
@attribute KAL numeric
@attribute VAL numeric
@attribute NRL numeric
@attribute NNL numeric
@attribute NDL numeric
@attribute EEL numeric
@attribute EQL numeric
@attribute LGL numeric
@attribute ALL numeric
@attribute ELL numeric
@attribute NKL numeric
@attribute KKL numeric
@attribute TKL numeric
@attribute IPL numeric
@attribute YSL numeric
@attribute KYL numeric
@attribute PYL numeric
@attribute GVL numeric
@attribute GAK numeric
@attribute IRK numeric
@attribute QDK numeric
@attribute KDK numeric
@attribute DQK numeric
@attribute SQK numeric
@attribute YGK numeric
@attribute EIK numeric
@attribute PLK numeric
@attribute GMK numeric
@attribute GYK numeric
@attribute VYK numeric
@attribute ANM numeric
@attribute IDM numeric
@attribute DVM numeric
@attribute QAF numeric
@attribute VRF numeric
@attribute AIF numeric
@attribute IKF numeric
@attribute GSF numeric
@attribute LTF numeric
@attribute VVF numeric
@attribute IAP numeric
@attribute PEP numeric
@attribute LHP numeric
@attribute VLP numeric
@attribute PKP numeric
@attribute LPP numeric
@attribute GSP numeric
@attribute DNS numeric
@attribute LIS numeric
@attribute MKS numeric
@attribute LFS numeric
@attribute PFS numeric
@attribute SFS numeric
@attribute VPS numeric
@attribute STS numeric
@attribute RVS numeric
@attribute QAT numeric
@attribute KRT numeric
@attribute ENT numeric
@attribute GLT numeric
@attribute PLT numeric
@attribute LLW numeric
@attribute SAY numeric
@attribute SDY numeric
@attribute AAV numeric
@attribute IAV numeric
@attribute RNV numeric
@attribute YDV numeric
@attribute TGV numeric
@attribute RHV numeric
@attribute RKV numeric
@attribute SKV numeric
@attribute GFV numeric
@attribute NYV numeric
@attribute IVV numeric
@attribute VVV numeric
@attribute output {0,1}

@data
38.71,45.161,54.839,-0.335548,0.025806,0.146613,-0.011774,-0.068387,-1.165645,0.136613,0.750484,0.032258,0.024194,0.040323,0.00813,0,0,0,0.00813,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0.00813,0.00813,0,0,0,0,0,0.00813,0,0,0.00813,0,0,0,0.00813,0,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.71,45.161,54.839,-0.335548,0.025806,0.146613,-0.011774,-0.068387,-1.165645,0.136613,0.750484,0.032258,0.024194,0.040323,0.00813,0,0,0,0.00813,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0.00813,0.00813,0,0,0,0,0,0.00813,0,0,0.00813,0,0,0,0.00813,0,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.71,45.161,54.839,-0.335548,0.025806,0.146613,-0.011774,-0.068387,-1.165645,0.136613,0.750484,0.032258,0.024194,0.040323,0.00813,0,0,0,0.00813,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0.00813,0.00813,0,0,0,0,0,0.00813,0,0,0.00813,0,0,0,0.00813,0,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.71,45.161,54.839,-0.335548,0.025806,0.146613,-0.011774,-0.068387,-1.165645,0.136613,0.750484,0.032258,0.024194,0.040323,0.00813,0,0,0,0.00813,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0.00813,0.00813,0,0,0,0,0,0.00813,0,0,0.00813,0,0,0,0.00813,0,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.71,43.548,56.452,-0.304323,0.002661,0.05371,-0.118387,0.010968,-1.164274,0.131613,0.763548,0.032258,0.024194,0.032258,0.01626,0,0,0,0.00813,0,0.00813,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0.00813,0.00813,0,0,0,0,0,0.00813,0,0.00813,0.00813,0,0,0,0.00813,0,0.00813,0.00813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.71,43.548,56.452,-0.304323,0.002661,0.05371,-0.118387,0.010968,-1.164274,0.131613,0.763548,0.032258,0.024194,0.032258,0.01626,0,0,0,0.00813,0,0.00813,0,0.00813,0,0.00813,0,0,0,0,0,0,0,0,0.00813,0.00813,0,0,0,0,0,0.00813,0,0.00813,0.00813,0,0,0,0.00813,0,0.00813,0.00813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008197,0,0,0,0,0.008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.835,49.485,50.515,-0.096381,0.010619,-0.248763,0.030206,-0.010103,-0.855464,0.060619,0.29701,0.072165,0.072165,0.020619,0.010417,0,0.020833,0.020833,0,0,0,0,0,0,0,0,0,0,0,0.010417,0,0,0,0,0,0,0,0,0,0,0.010417,0,0,0,0,0,0,0,0,0,0,0.010417,0,0,0,0,0,0,0,0,0,0,0.010526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.835,49.485,50.515,-0.096381,0.010619,-0.248763,0.030206,-0.010103,-0.855464,0.060619,0.29701,0.072165,0.072165,0.020619,0.010417,0,0.020833,0.020833,0,0,0,0,0,0,0,0,0,0,0,0.010417,0,0,0,0,0,0,0,0,0,0,0.010417,0,0,0,0,0,0,0,0,0,0,0.010417,0,0,0,0,0,0,0,0,0,0,0.010526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,45,55,-0.015567,0.007167,-0.153333,-0.178667,-0.050333,-1.083833,0.136167,0.489833,0.083333,0.05,0.033333,0.016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949,0.016949,0,0.016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241,0,0,0,1
20,45,55,-0.015567,0.007167,-0.153333,-0.178667,-0.050333,-1.083833,0.136167,0.489833,0.083333,0.05,0.033333,0.016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949,0.016949,0,0.016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241,0,0,0,1
